sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,alt_size_1,alt_size_2,alt_size_3,alt_size_4,color,color_tone,cost,country_of_manufacture,created_at,created_by,custom_design,custom_design_from,custom_design_to,custom_layout_update,date_created,date_expired,date_modified,description,do_not_display,embellishments,enable_googlecheckout,format,gallery,gift_message_available,has_options,image,image_label,image_size_cm,image_size_inches,keywords,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,modified_by,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,over_size,page,page_layout,page_size_cm,paper_quality,paper_size_inches,pod,price,required_options,short_description,size,size_category,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,title,total_quantity_on_hand,udf_anycustom,udf_artist_name,udf_copyright,udf_crline,udf_decal,udf_dnd,udf_embellished,udf_framed,udf_imsource,udf_limited,udf_maxsf,udf_new,udf_osdp,udf_pricecode,udf_ratiocode,udf_tar,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
template_poster,,Topart - Products,simple,Collections,Root Category,base,10,20,30,40,Green,Cool Blues and Greens,,,2012-12-03 20:44:48,,,,,,,,,Template - Poster,,Metallic,1,Square,,,0,,,10 cm,10 inches,"Keywords List, Keyword",,,Template - Poster,Template - Poster,Template - Poster,,,,Use config,Use config,Template - Poster,,,Block after Info Column,No,,,20 cm,,20 inches,No,100,0,Template - Poster,,Large,,,,,,1,2,,,,145,No,Micahel Klung,No,Copyright Line,,No,No,No,Topart,No,0,No,No,GG,5:06,No,2012-12-03 20:44:48,template-poster,,4,1,145,0,1,0,0,1,1,1,0,1,1,,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Blue,,,,,,,,,,,,,,,Foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_custom,,Topart - Products,simple,Collections,Root Category,base,10,20,30,40,Green,Cool Blues and Greens,,,2012-12-03 20:44:48,,,,,,,,,Template - Custom Product,,Metallic,1,Square,,,1,,,10 cm,10 inches,"Keywords List, Keyword",,,Template - Custom Product,Template - Custom Product,Template - Custom Product,,,,Use config,Use config,Template - Custom Product,,,Block after Info Column,No,,,20 cm,,20 inches,No,50,1,Template - Custom Product,,Large,,,,,,2,2,,,,0,No,Michael Klung,No,Copyright Line,,No,No,No,Topart,No,0,No,No,GG,5:06,No,2012-12-03 20:44:48,template-custom-product,,4,1,0,0,1,0,0,1,1,1,0,1,0,,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,radio,Size,1,,,0,3,Petite,0,size_petite,0
,,,,Collections/Oversize Variety,Root Category,,,,,,Blue,,,,,,,,,,,,,,,Foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Small,0,size_small,1
,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,0,size_medium,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Large,0,size_large,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oversize,0,size_oversize,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,0,size_custom,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radio,Canvas Quality,0,,,0,2,Standard,0,canvas_standard,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rag,0,canvas_rag,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radio,Paper Quality,0,,,0,1,Standard Quality Paper,0,paperquality_standard,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Paper,0,paperquality_specialpaper,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radio,Material,1,,,0,0,Poster,0,material_poster,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photo Paper,0,material_photopaper,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canvas,0,material_canvas,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decal,0,material_decal,3
