PrimaryVendorNo,Item Code,United Inch TAR Cost,Flat Mounting Cost
F21066,F4LB3010,$0.890,$5.000
F21066,F4LI205,$1.286,$5.000
F21066,F4LI210,$1.304,$5.000
F21066,F4LM2450,$1.223,$5.000
F21066,F4LN2110,$0.728,$5.000
F21066,F4LW2117,$0.849,$5.000
F21066,F4LW3017,$1.092,$5.000
F21066,F4LP1707,$1.344,$0.000
F21066,F4LP1708,$1.344,$0.000
F21066,F4LP1710,$1.223,$0.000
F21066,F4LB7218,$0.940,$5.000
F21066,F4LB7238,$1.093,$5.000
F21066,F4LH277,$1.155,$5.000
F21066,F4LH278,$1.155,$5.000
F21066,F4LN1107,$0.881,$5.000
F21066,F4LN1108,$0.872,$5.000
F21066,F4LN2111,$0.854,$5.000
F21066,F4LBR4513,$1.124,$5.000
F21066,F4LBR4516,$1.146,$5.000
F21066,F4LW2112,$0.849,$5.000
F21066,F4LW2113,$0.849,$5.000
F21066,F4LW2114,$0.849,$5.000
F21066,F4LW2115,$0.849,$5.000
F21066,F4LW2116,$0.849,$5.000
F21066,F4LW3012,$1.092,$5.000
F21066,F4LW3013,$1.092,$5.000
F21066,F4LW3014,$1.092,$5.000
F21066,F4LW3015,$1.092,$5.000
F21066,F4LW3016,$1.092,$5.000
F21066,F4LW3020,$1.187,$5.000
F21066,F4LACRYLIC,$0.270,$0.000
S73068,stretch,$0.430,$0.000
F21066,F4L001O3,$0.300,$0.000
F21066,F4L001R2,$0.300,$0.000
F21066,F4L001R3,$0.300,$0.000
F21066,F4L006O3,$0.300,$0.000
F21066,F4L006R2,$0.300,$0.000
F21066,F4L006R3,$0.300,$0.000
F21066,F4L014R2,$0.300,$0.000
F21066,F4L014R3,$0.300,$0.000
F21066,F4L015O3,$0.300,$0.000
F21066,F4L017R2,$0.300,$0.000
F21066,F4L017R3,$0.300,$0.000
F21066,F4L019R2,$0.300,$0.000
F21066,F4L019R3,$0.300,$0.000
F21066,F4L020R2,$0.300,$0.000
F21066,F4L020R3,$0.300,$0.000
F21066,F4L036R2,$0.300,$0.000
F21066,F4L036R3,$0.300,$0.000
F21066,F4L041R2,$0.300,$0.000
F21066,F4L041R3,$0.300,$0.000
F21066,F4L062O3,$0.300,$0.000
F21066,F4L062R2,$0.300,$0.000
F21066,F4L062R3,$0.300,$0.000
F21066,F4L078R2,$0.300,$0.000
F21066,F4L078R3,$0.300,$0.000
F21066,F4L080O3,$0.300,$0.000
F21066,F4L080R2,$0.300,$0.000
F21066,F4L080R3,$0.300,$0.000
F21066,F4L090R2,$0.300,$0.000
F21066,F4L090R3,$0.300,$0.000
F21066,F4L091R2,$0.300,$0.000
F21066,F4L091R3,$0.300,$0.000
F21066,F4L1201R2,$0.300,$0.000
F21066,F4L1201R3,$0.300,$0.000
F21066,F4L1204R2,$0.300,$0.000
F21066,F4L1204R3,$0.300,$0.000
F21066,F4L1205R2,$0.300,$0.000
F21066,F4L1205R3,$0.300,$0.000
F21066,F4L1207R2,$0.300,$0.000
F21066,F4L1207R3,$0.300,$0.000
F21066,F4L1208R2,$0.300,$0.000
F21066,F4L1208R3,$0.300,$0.000
F21066,F4L1209R2,$0.300,$0.000
F21066,F4L1209R3,$0.300,$0.000
F21066,F4L1210R2,$0.300,$0.000
F21066,F4L1210R3,$0.300,$0.000
F21066,F4L1211R2,$0.300,$0.000
F21066,F4L1211R3,$0.300,$0.000
F21066,F4L208R2,$0.300,$0.000
F21066,F4L208R3,$0.300,$0.000
F21066,F4L214R2,$0.300,$0.000
F21066,F4L214R3,$0.300,$0.000
F21066,F4L277O3,$0.300,$0.000
F21066,F4L281R2,$0.300,$0.000
F21066,F4L281R3,$0.300,$0.000
F21066,F4L282O3,$0.300,$0.000
F21066,F4L285R2,$0.300,$0.000
F21066,F4L285R3,$0.300,$0.000
F21066,F4L306R2,$0.300,$0.000
F21066,F4L306R3,$0.300,$0.000
F21066,F4L312R2,$0.300,$0.000
F21066,F4L312R3,$0.300,$0.000
F21066,F4L314R2,$0.300,$0.000
F21066,F4L314R3,$0.300,$0.000
F21066,F4L328O3,$0.300,$0.000
F21066,F4L328R2,$0.300,$0.000
F21066,F4L328R3,$0.300,$0.000
F21066,F4L404O3,$0.300,$0.000
F21066,F4L411O3,$0.300,$0.000
F21066,F4L411R2,$0.300,$0.000
F21066,F4L411R3,$0.300,$0.000
F21066,F4L422O3,$0.300,$0.000
F21066,F4L422R2,$0.300,$0.000
F21066,F4L422R3,$0.300,$0.000
F21066,F4L428R2,$0.300,$0.000
F21066,F4L428R3,$0.300,$0.000
F21066,F4L435R2,$0.300,$0.000
F21066,F4L435R3,$0.300,$0.000
F21066,F4L441O3,$0.300,$0.000
F21066,F4L450R2,$0.300,$0.000
F21066,F4L450R3,$0.300,$0.000
F21066,F4L459O3,$0.300,$0.000
F21066,F4L459R2,$0.300,$0.000
F21066,F4L459R3,$0.300,$0.000
F21066,F4L460O3,$0.300,$0.000
F21066,F4L460R2,$0.300,$0.000
F21066,F4L460R3,$0.300,$0.000
F21066,F4L461R2,$0.300,$0.000
F21066,F4L461R3,$0.300,$0.000
F21066,F4L462R2,$0.300,$0.000
F21066,F4L462R3,$0.300,$0.000
F21066,F4L469R2,$0.300,$0.000
F21066,F4L469R3,$0.300,$0.000
F21066,F4L472R2,$0.300,$0.000
F21066,F4L472R3,$0.300,$0.000
F21066,F4L473R2,$0.300,$0.000
F21066,F4L473R3,$0.300,$0.000
F21066,F4L487R2,$0.300,$0.000
F21066,F4L487R3,$0.300,$0.000
F21066,F4L488R2,$0.300,$0.000
F21066,F4L488R3,$0.300,$0.000
F21066,F4L490R2,$0.300,$0.000
F21066,F4L490R3,$0.300,$0.000
F21066,F4L518R2,$0.300,$0.000
F21066,F4L518R3,$0.300,$0.000
F21066,F4L519O3,$0.300,$0.000
F21066,F4L520R2,$0.300,$0.000
F21066,F4L520R3,$0.300,$0.000
